Candidate,Tweet,Score,Magnitude
Atiku,undercover99 That s why they left him stranded in the pdp primaries in porthacourt They will collect the atiku dollar and vote integrity come febuhari 16th nYou can t stop the ne level train,-0.400000006,0.400000006
Atiku,RT Article Oct 18 issue assessed the impact politics was having on the economy amp governance n n RR Nigeria,-0.300000012,0.300000012
Atiku,Article Oct 18 issue assessed the impact politics was having on the economy amp governance n n RR Nigeria Politics NigeriaDecides NewAfrican Markets Investment FPI FDI Atiku Buhari APC PDP,-0.200000003,0.200000003
Atiku,2019 Why we dumped Buhari for Atiku Northern stakeholders Buhari APC PDP PeterObi YemiOsinbajo Africa SouthAfrica westafrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts DuaLipa Alicia,-0.300000012,0.300000012
Atiku,RT Article Oct 18 issue assessed the incumbent s chances n n RR Nigeria Politics NigeriaDecides NewAfrican,-0.400000006,0.400000006
Atiku,Article Oct 18 issue assessed the incumbent s chances n n RR Nigeria Politics NigeriaDecides NewAfrican Markets Investment FPI FDI Atiku Buhari APC PDP Economy,-0.300000012,0.300000012
Atiku,RT The PDP crowd in kano is not for atiku the people with red caps are Kwankwasiyya so stop deceiving urselfs,-0.699999988,0.699999988
Atiku,RT Article Jan 19 issue assessed the 2 leading candidates policy documents n n RR Nigeria Politics Nigeria,-0.400000006,0.400000006
Atiku,Article Jan 19 issue assessed the 2 leading candidates policy documents n n RR Nigeria Politics NigeriaDecides NewAfrican Markets Investment FPI FDI Atiku Buhari APC PDP,-0.300000012,0.300000012
Atiku,I had a dream at the early hours of this morning that Won the elections thank God for saving Nigeria Congratulations my incoming president NigeriaDecides2019 PDPKanoRally PDPRiversRally atiku,0.800000012,0.800000012
Atiku,NEWSPAPERREVIEW with u and on DayBreakNigeria n n ATIKU PROMISES TO IMPROVE AGRICULTURE COMMERCE IF ELECTED,-0.300000012,0.300000012
Atiku,Wow see we got real people real crowd No importation Not animals no cows Real people AtikuInKano Atiku AtikuWillWin,-0.400000006,0.400000006
Atiku,RT If PMB wins this coming Presidential election Asuu will resume strike nYa ll please vote for Atiku,0,0
Atiku,Nigeria news politics Overcrowding Nine slump at Atiku s rally in Kano,0,0
Atiku,Happy new week n nYou know we ve the solution to your Phone Laptop problem n nVisit us and let s help you do more n nCall us today on 07082698340 n n n Grammys2019 BAFTAs MondayMotivaton NigeriaDecides mondaythoughts MondayMorning GrammyAwards cardi atiku buhari,0.699999988,0.699999988
Atiku,Can it get this bad n BeObjectv Media 2019Elections NigeriaDecides2019 Ne APC PDP NewNigeria NationBuilding Butiku Buhari Atiku Sowore2019 Moghalu Durotoye TakeItBack AAC ANN YPP,-0.400000006,0.400000006
Atiku,Need I remind you that you have just 1 ONE vote and mine has cancelled yours n n Buhari is a movement n n Atiku is a movement n nNa 160218 we go know who senior n n,-0.699999988,0.699999988
Atiku,PDP rally Atiku pledges priority attention to Agric commerce n n,0,0
Atiku,Class test answer the accompanying question with sincerity n BeObjectv 2019Elections NigeriaDecides2019 NewNigeria NationBuilding TakeItBack Buhari Atiku Moghalu Sowore2019 FelaDrutotoye TopeFasua lagosnigeria StartUps,0.300000012,0.300000012
Atiku,RT Ks Collect ATIKU s money Go for his rally and on the day of election vote the Man who s honest amp Just That s what our grandpar,0.100000001,0.100000001
Atiku,RT Please go out and vote Atiku,0,0
Atiku,Why Former US President Bill Clinton Is Visiting Buhari Atiku 1ddrive,0,0
Atiku,Lol your time is up AtikuWillWin AtikuIsComing Atiku,0.300000012,0.300000012
Atiku,Lets Get Nigeria Working Again Join me as I support H E for President nCreate your own customized graphics message by downloading the app TheAtikuPlan LetsGetNigeriaWorkingAgain GNWA atiku n n,0.899999976,0.899999976
Atiku,RT Atiku is not the best candidate but he is far better than Buhari in all ramifications I ve seen death amp suffering in the,0.5,0.5
Atiku,Non died in Kano neither will any for Atiku,-0.100000001,0.100000001
Atiku,2019Election prediction n Atiku will originally win but it will be rigged and Buhari will still be president n nMy state election Deltastate Election will be postponed But someone will fall for another to rise BTW when is BBNaija BBNaija2019 starting,-0.300000012,0.300000012
Atiku,Nigeria news politics Atiku won t get 15 votes in Ogun says pro Buhari group,0,0
Atiku,walebakare ng ATIKU FOR BETTER NIGERIA I SUPPORT YOU SIR,0.300000012,0.300000012
Atiku,Please go out and vote Atiku,0,0
Atiku,For sponsorship or partnership considerations and deliberations Kindly reach us via any of our contacts on the flier n n atiku schools party costume teenagerposts boys NigeriaDecides fashionista follow atiku teenageboys naija teenagegirls conference teen,-0.100000001,0.100000001
Atiku,RT 2015 I voted for u I thought u could make the changes I desired but little did I know I was voting for incompetence,-0.800000012,0.800000012
Atiku,Atiku is not the best candidate but he is far better than Buhari in all ramifications I ve seen death amp suffering in the eyes of Nigerians seen fathers who can t pay their children school fees n nCome 16th of February 2019 I will stand with atiku,0.300000012,0.300000012
Atiku,Nigeria news politics We endorsed Atiku because of restructuring Clark e,0,0
Atiku,We stand with Atiku n n LetsGetNigeriaWorkingAgain,0,0
Atiku,RT I not supporting Buhari or atiku ooo but vote for someone you can defend in heaven,-0.400000006,0.400000006
Atiku,Under the godfather of corruption in Nigeria OBJ and close associate Atikulooter Atiku,-0.300000012,0.300000012
Atiku,RT NigeriaDecides a vote for PMB will be the wise thing to do it will not be an endorsement of APC but giving them a seco,-0.600000024,0.600000024
Atiku,Some of the replies on this thread show that many Nigerians are still sane We will vote Atiku so the media can have their balls back to report whatever is happening in our country Dustbin SAN,0,0
Atiku,RT Buharist may fill d Twitter space 4 all I care but come Failbuhari 16 d people s wi,-0.100000001,0.100000001
Atiku,atiku winning this coming presidential election is my hope of being a great Nigerian please don t kill my hope by rigging the election Many other youths have this same hope This is why i am volunteering my everything to support bcos he means job jobs and jobs,0.300000012,0.300000012
Atiku,Can Atiku be such a president n nTo Atiku nWe don t need deliverance from Buhari government All we are asking for is a great governance and prosperous Nigeria We can consider the 3rd term later n nPalpable Nigerians,0.5,0.5
Atiku,RT Did you see how APC is fighting corruption by buying PVC number with 10 000Naira If you want a better Nigeria retweet pl,-0.5,0.5
Atiku,DEADLINE FOR PVC COLLECTION IS TODAY GO GET YOURS NOW n nLETS GET NIGERIA WORKING AGAIN n ATIKU NATION,0.200000003,0.200000003
Atiku,Something terribly went wrong during these 3 and half years Let s try someone else atiku has my vote BuhariMustGo,-0.800000012,0.800000012
Atiku,RT See what happened in Kano during Atiku s visit Kano is PDP Kwankwaso is a movement Believe me n Atiku n PDP n LetsGetNi,0,0
Atiku,Ukeri So we are now a countrybthat should be ruled by Grand Pa s from Buhari 77 to Atiku 73 What really is the difference Come 2023 Baba wont step down Please fav this tweet Sure Banker,0,0
Atiku,RT Atiku is in town but not at the campaign venue yet n AtikuInKano PDPKanoRally AtikuTakesOverKano n KanoIsPDP AtikuObi,0,0
Atiku,I strongly believe that the national chairman of APC Mr Osho Bobo is watching this video Atiku for Nija,-0.100000001,0.100000001
Atiku,This morning four boys boarded a bike and the fell one got hurt Its sad that this happens in the so called ajah the elite community Please can the government make a free bus available or a bus with minimal fare running through ogombo to the school Atiku,-0.600000024,0.600000024
Atiku,RT Poll after poll formal or informal Atiku wins on Twitter Haven t seen one in which Buhari won n nWhether this will t,0,0
Atiku,RT Imagine a dull president with a vibrant people May u lose on Saturday d way Chelsea lose to man city we gv d fool 4year he,-0.5,0.5
Atiku,Hope you are not planning to take an appointment in Atiku s government If you try am No evil in our past will join the ne govt,-0.100000001,0.100000001
Atiku,Valelectionspecial Billclinton 2 oversee Buhari n Atiku sign a peaceAccord on wed It worked n 2015 will it work in 2019 Talk 2 us now,0.300000012,0.300000012
Atiku,Atiku has so much to offer to Nigeria such as corruption poverty fraud and problems Only Atiku can deliver these to us all His nature is beyond control and he is fully devoured by his hunger of corruption AtikuNeverAgain AtikufailedNigeria AtikuE,-0.200000003,0.200000003
Atiku,Too much love for atiku,0.600000024,0.600000024
Atiku,E president Billclinton is 2 over c Buhari N Atiku sign a peaceAccord on wed It worked btw GEj n Buhari in 2015 will it work ds yr,0.200000003,0.200000003
Atiku,RT More Kwankwassiya fashion from the Atiku in Kano carnival,0.200000003,0.200000003
Atiku,There is nothing to see oremi We have our ne president and it s Atiku,-0.400000006,0.400000006
Atiku,Thank You Nigeria n Atiku VoteAtiku AtikuObi PDP SEYFA GNWA,0,0
Atiku,Poll after poll formal or informal Atiku wins on Twitter Haven t seen one in which Buhari won n nWhether this will translate into victory on 16 February is another issue n nJust go out and vote Like Jonathan Buhari hasn t served us well Nigeria must move forward,0.300000012,0.300000012
Atiku,Thank You Kano n PDPRally ATIKU SEYFA GNWA,0,0
Atiku,RT 6 days to remove PMB ApC which operates like a cancer in Nigeria with our PVC n nPMB APC,-0.200000003,0.200000003
Atiku,Still Overwhelmed by the Love Katsina showed n PDPRally ATIKU SEYFA GNWA,0.899999976,0.899999976
Atiku,RT You ve deceived me before it won t happen again Your time is up please give chance to someone else ATIKU https,-0.800000012,0.800000012
Atiku,RT 2019 Election What Atiku Discussed With Emir Sanusi In Kano,-0.300000012,0.300000012
Atiku,RT We all can fight against bad governance nAll you need to do is n nGet your PVC ready Come Saturday 16th February Vote fo,0.200000003,0.200000003
Atiku,RT You were giving the mandate in 2015 what did you do with it nothing instead the Cabals run your government Niger,-0.699999988,0.699999988
Atiku,RT Before you cast your vote for any candidate party ask them what happened to our railway system in the past 20years of de,0,0
Atiku,Imagine a dull president with a vibrant people May u lose on Saturday d way Chelsea lose to man city we gv d fool 4year he do nothing at list lets try Atiku 1st nd see wat he can do Am not a party man am nt PDP or APC at list lets be wise 4 once abeg o sha suffer no dey tire una,-0.800000012,0.800000012
Atiku,2015 I voted for u I thought u could make the changes I desired but little did I know I was voting for incompetence and impunity You increased fuel from 87 to 145 bag of rice from 7 500 to 18 000 to mention but a few n nIn this 2019 atiku has my vote Let him do it too,-0.899999976,0.899999976
Atiku,You lie here Atiku is the only option,-0.600000024,0.600000024
Atiku,Today is the final day of PVC collection Anyone that haven t yet collected his her PVC should go to INEC local government office close to you and get your PVC Come 16 February we are going to vote out this wicked nepotism and oppressor government ATIKU OBI 2019,0.100000001,0.100000001
Atiku,Oga go home you have tried and have failed let someone who understands with leadership to come in Atiku n GetNigeriaWorkingAgain n we need,-0.600000024,0.600000024
Atiku,If PMB wins this coming Presidential election Asuu will resume strike nYa ll please vote for Atiku,0,0
Atiku,Congratulations Team Atiku for winning the debate again on RubbinMinds the team proved to team PMB that Nigerian youths are not as lazy as the youths who make up team PMB would portray Up,0.100000001,0.100000001
Atiku,NigeriaDecides a vote for PMB will be the wise thing to do it will not be an endorsement of APC but giving them a second chance a vote for Atiku will be an invitation of the dark days of PDP they re still learning that voters decide 2023 beckons notPDPyet,0.100000001,0.100000001
Atiku,That was Saturday evening when Kwankwaso visits the site even unannounced to check how far things are going so my friend shut up Ka barwa ALLAH ikon sa AtikuTakesOverKano Atiku,0.699999988,0.699999988
Atiku,Atiku is leading in this online poll Click your choice to see You have less than three hours from now to vote,0.200000003,0.200000003
Atiku,You were giving the mandate in 2015 what did you do with it nothing instead the Cabals run your government Nigerians wants a president who is completely in charge a man who understands Nigeria is composed of three distinct branches legislative e and judicial Atiku,-0.800000012,0.800000012
Atiku,We all can fight against bad governance nAll you need to do is n nGet your PVC ready Come Saturday 16th February Vote for Adequate transformation via Atiku After casting your Votes please We are e to sit back monitor the Ballot bo and wait for Result,0,0
Atiku,2019 Election What Atiku Discussed With Emir Sanusi In Kano,0,0
Atiku,Let the government investigate the circumstances surrounding the sell of Alscon they might likely discover that the difference of 2 7b or less might have been given to atiku the facilitator,0,0
Atiku,You ve deceived me before it won t happen again Your time is up please give chance to someone else ATIKU,-0.800000012,0.800000012
Atiku,RT 2019 Atiku campaign team also paid a homage visit to the family of LATE AMINU KANO JAGORAN TALAKAWA may his gentle soul continue,0.800000012,0.800000012
Atiku,See what happened in Kano during Atiku s visit Kano is PDP Kwankwaso is a movement Believe me n Atiku n PDP n LetsGetNigeriaWorkingAgain,0,0
Atiku,Did you see how APC is fighting corruption by buying PVC number with 10 000Naira If you want a better Nigeria retweet please n Atiku n INEC,-0.600000024,0.600000024
Buhari,Since President Buhari came to power in May 2015 Nigeria s stock market has fallen more than any other in the world dropping 50 in dollar terms That may hurt him in this weekend s elections though many are wary of his main opponent Atiku,-0.300000012,0.300000012
Buhari,President Buhari says his administration has delivered on the three electoral promises made to Nigerians in 2015 namely security provision improved economy and fighting corruption tgnelectionwatch Nigeria Buhari APC ICYMI,-0.400000006,0.400000006
Buhari,The recent rally in Nigeria s stocks may pick up steam if there a change in government after this weekend presidential election according to lenders and money managers including AllianceBernstein and Citigroup Buhari Atiku,0,0
Buhari,Thanks to all those that kept the promise of stoning amp to all those that would vote them out a big Thanks in advance NigeriaDecides2019 Nigeria buhariout buhari,0.5,0.5
Buhari,RT Nigeria BREAKING Governor Technically Declares s Defeat Orders To Throw In The Towel Now https,0.300000012,0.300000012
Buhari,RT Does this crowd look happy to you If you study this photo you see Reuters logo on it Story by BBC UK govt media stamp,0.699999988,0.699999988
Buhari,Happening now President Buhari and Atikuat the International Conference Centre in Abuja for the second signing of the National Peace Accord NigeriaDecides TGNElectionWatch Nigeria Buhari Atiku,0.300000012,0.300000012
Buhari,RT Ekwo RT Not saying it is not true but what better way to illustrate a big crowd at a Jubil aka Buhari rally Brilliant actually Stampede Ekwo,0.800000012,0.800000012
Buhari,RT Not saying it is not true but what better way to illustrate a big crowd at a Jubil aka Buhari rally Brilliant actually S,0.800000012,0.800000012
Buhari,Bishop Oyedepo church members arraigned for N38m fraud Ogun livingFaith Buhari RememberPDP WednesdayMotivation WalterOnnoghen WorldRadioDay RestInPeaceAPC Bre YoungMa Mali genevieve INEC Oloye peaceaccord,-0.600000024,0.600000024
Buhari,Nigeria news politics Katsina APC targets 2 8 million votes for Buhari,0,0
Buhari,RR FT Nigeria Politics NigeriaDecides Atiku Buhari APC PDP n n I think on the health issue it is likely a matter of who is less unhealthy They are both old men,-0.200000003,0.200000003
Buhari,I also lost my job 2015 when Buhari came to power since then life has not been easy A lot of people lost their jobs if yo do comments and retweet,-0.699999988,0.699999988
Buhari,Nigeria news elections Traffic gridlock hits Ilorin ahead of Buhari s visit,0,0
Buhari,Kwara state promise an harmonious e as you visit Us today n Ne n OTOGE n buhari n PMBInKwara n OTOGE,-0.400000006,0.400000006
Buhari,why you go about welcoming Buhari and Atiku in various states heres a chart from bbc that will get you thinking how unemployed and how many deaths there have been in states accross Nigeria n PMBInKwara,-0.300000012,0.300000012
Buhari,9jaVAR News Update gt Her breasts tempted me Man arrested for forcing 14 year old Girl Into Bed Says nigeria africa news lagos government buhari naija 9javar latest retweet like4like,-0.899999976,0.899999976
Buhari,RT Nigeria BREAKING 2019 Remi Tinubu Refuses To Campaign For Silently Endorses s,-0.899999976,0.899999976
Buhari,RT atuejide Pls oh when did of turn Oba Akiolu of Lagos nAbi is the Oba s throne no longer sacred,-0.600000024,0.600000024
Buhari,BREAKING 2019 Remi Tinubu Refuses To Campaign For Silently Endorses s postnigerianews Buhari Atiku NigeriaDecides 2019Elections,-0.899999976,0.899999976
Buhari,That s a spirit of a democrat not a favouritism like Buhari,0,0
Buhari,RT With Love nNigerians in the UK for Buhari n n,0.400000006,0.400000006
Buhari,i gave up on you and your government after i was deprived employment by and the NigerianNavy all because i dont have a minister or a senator to be my godfather as requested by them it was obvious that people who failed the interview got the job what a Life BUHARI,-0.100000001,0.100000001
Buhari,RT This is the killer Buhari nNo more killing of Biafra people again nNever again shall Biafra people killed,0.200000003,0.200000003
Buhari,RT Happy new week n nYou know we ve the solution to your Phone Laptop problem n nVisit us and let s help you do more n nCall us,0.699999988,0.699999988
Buhari,LOL He should come up with a better strategy This one don fail buhari must go,0.200000003,0.200000003
Buhari,Buhari s Administration has focused on empowering market women and this has helped me in growing my business My vote will always be for Buhari anytime anyday Mrs Salamotu Trader Kaduna n n ispeakup4buhari n ispeakupforbuhari n buhari n osibanjo n kadunaspeaksup4buhari,0.899999976,0.899999976
Buhari,RT 9jaVAR News Update gt Bobrisky shows off his newly constructed dangerous hips nigeria africa news lagos government buhari,-0.699999988,0.699999988
Buhari,9jaVAR News Update gt Bobrisky shows off his newly constructed dangerous hips nigeria africa news lagos government buhari naija 9javar latest retweet like4like,-0.699999988,0.699999988
Buhari,RT Hoodlums attack Abia pastor kill two daughters Police Atiku Buhari APC PDP PeterObi Ye,0.100000001,0.100000001
Buhari,Hoodlums attack Abia pastor kill two daughters Police Atiku Buhari APC PDP PeterObi YemiOsinbajo SouthAfrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts Drake Grammy InvasionOfPrivacy Travis Drake,0,0
Buhari,APC Threatens Igbos Says They Will Regret Not Voting Buhari kokotv kokong kokonews politics APC 2019Elections Elections2019 PresidentialElections Igbos Buhari PMB FeBuhari16,-0.899999976,0.899999976
Buhari,2 killed by Soldiers at the Imo state APC rally n nLink in bio to read more n buhari tundeednut davido bellanaijaweddings,0,0
Buhari,Guys let s vibe Do u c d peaceAccord btw buhari Atiku holding any water N if a seyilaw joke of Sunday ws pulled on u ds hw will u react,-0.400000006,0.400000006
Buhari,Dr Adam Shuabi in this video affirmed his decision to re elect Buhari by mentioning numerous cities in which he has witnessed the effect of the efficiency of the Buhari Osibanjo administration n Nigeriadecides n buhari n osibanjo n ispeakup4buhari n ispeakupforbuhari,0,0
Buhari,For me and my household our votes is for Buhari Sai Baba can t allow Atiku privatize NNPC never they sold NEPA power became worst Ne,-0.600000024,0.600000024
Buhari,RT atuejide There s nothing wrong with the Head of State but there s something wrong with the state of his head n nEven i,-0.300000012,0.300000012
Buhari,VIDEO Victor AD ft Erigga Why onyi Buhari cashfollowplane cashgainingtrain chefchi chefchioma Davido digitalmarketing digitalmedia Erigga fashionbloggers followforfollow likeforlikealways love thechefchi tiwasavage VictorAD vi,-0.300000012,0.300000012
Buhari,2019 Major shakeup hits Nigerian Army navy police Atiku Buhari APC PDP PeterObi YemiOsinbajo Africa SouthAfrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts Drake Grammy InvasionOfPrivacy Travis,0,0
Buhari,what do you mean by Buhari s first re election Funny n nAre suggesting he could have a second re election making it third tenure,0.200000003,0.200000003
Buhari,RT 2019 Why we dumped Buhari for Atiku Northern stakeholders Buhari APC PDP PeterObi Yem,-0.400000006,0.400000006
Buhari,God is too faithful to fail n BUHARI,0,0
Buhari,Nigeria news politics APC AA partner to win Imo for Buhari Nwosu,0,0
Buhari,Naomi Campbell 48 and new flame Liam Payne 25 attend Vogue BAFTA party amidst romance rumours Photos onyi 25 48 Attend Buhari cashfollowplane cashgainingtrain chefchi chefchioma Davido digitalmarketing digitalmedia fashionblo,0.5,0.5
Buhari,NEWSPAPERREVIEW with u and on DayBreakNigeria n n BUHARI SPEAKS ON 3RD TERM INTEREST nBuhari assured that he respects the constitution of Nigeria He said he was a honourable person who would not go against the laws of the land after winning a second tenure,-0.100000001,0.100000001
Buhari,9jaVAR News Update gt hasn been easy for me Actress Yvonne Nelson reveals nigeria africa news lagos government buhari naija 9javar latest retweet like4like,0,0
Buhari,9jaVAR News Update gt Comedian AY replies lady who called him out on Instagram for using an android phone nigeria africa news lagos government buhari naija 9javar latest retweet like4like,-0.5,0.5
Buhari,Checkout breath taking red carpet photos from the 61st Grammy Awards n nLink in bio to checkout pictures n inec buhari tundeednut queensmedia bellanaijaweddings,0.600000024,0.600000024
Buhari,RT Yaqoub Buhari Gandollar should forget Kano KanoIsPDP AtikuInKano,0,0
Buhari,2019 Why we dumped Buhari for Atiku Northern stakeholders Buhari APC PDP PeterObi YemiOsinbajo Africa SouthAfrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts Drake Grammy InvasionOfPrivacy,-0.300000012,0.300000012
Buhari,Seun Kuti loses to South Africa Soweto Gospel Choir onyi 2019Grammys Buhari cashfollowplane cashgainingtrain chefchi chefchioma Davido digitalmarketing digitalmedia fashionbloggers followforfollow likeforlikealways Loses love Seun,0.600000024,0.600000024
Buhari,RT Nigeria BREAKING Delivers The Biggest Crowd For In Kano Today Totally Outshines,0.899999976,0.899999976
Buhari,Cardi B and Offset go romantically raw on the Grammys red carpet n nLink in bio to view more pictures n buhari efcc queensmedia davido tundeednut bellanaijaweddings,0.300000012,0.300000012
Buhari,RT Article Oct 18 issue assessed the impact politics was having on the economy amp governance n n RR Nigeria,-0.300000012,0.300000012
Buhari,Article Oct 18 issue assessed the impact politics was having on the economy amp governance n n RR Nigeria Politics NigeriaDecides NewAfrican Markets Investment FPI FDI Atiku Buhari APC PDP,-0.200000003,0.200000003
Buhari,2019 Why we dumped Buhari for Atiku Northern stakeholders Buhari APC PDP PeterObi YemiOsinbajo Africa SouthAfrica westafrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts DuaLipa Alicia,-0.300000012,0.300000012
Buhari,RT Kwara state promise an harmonious e as you visit Us today n Ne n OTOGE n buhari in Kwara https,-0.400000006,0.400000006
Buhari,RT Article Oct 18 issue assessed the incumbent s chances n n RR Nigeria Politics NigeriaDecides NewAfrican,-0.400000006,0.400000006
Buhari,Kwara state promise an harmonious e as you visit Us today n Ne n OTOGE n buhari in Kwara,-0.400000006,0.400000006
Buhari,Article Oct 18 issue assessed the incumbent s chances n n RR Nigeria Politics NigeriaDecides NewAfrican Markets Investment FPI FDI Atiku Buhari APC PDP Economy,-0.300000012,0.300000012
Buhari,RT Article Jan 19 issue assessed the 2 leading candidates policy documents n n RR Nigeria Politics Nigeria,-0.400000006,0.400000006
Buhari,Article Jan 19 issue assessed the 2 leading candidates policy documents n n RR Nigeria Politics NigeriaDecides NewAfrican Markets Investment FPI FDI Atiku Buhari APC PDP,-0.300000012,0.300000012
Buhari,Maurizio Sarri Reacts To Chelsea Shocking Defeat By Man City onyi Buhari cashfollowplane cashgainingtrain chefchi chefchioma Chelsea Davido defeat digitalmarketing digitalmedia fashionbloggers followforfollow likeforlikealways love,0,0
Buhari,2019 Grammys complete list of winners n nLink in bio to view full list n inec buhari queensmedia tundeednut davido,0.200000003,0.200000003
Buhari,no single economist in Buhari economyteam Mustapha Chike obi on Arise news this morning That speaks volume of why our economy is stalling under this govt I say again I like the team he confirm my position since 2018 he ready to president,-0.100000001,0.100000001
Buhari,9jaVAR News Update gt 2019 Grammy Seun Kuti loses out in World Music category nigeria africa news lagos government buhari naija 9javar latest retweet like4like,-0.100000001,0.100000001
